sent_id	lds_text	word_n	character_n
n01001011	虽然+	1	2
n01001011	美国+的+	2	3
n01001011	许多+	1	2
n01001011	数字化+转型+都是+	3	7
n01001011	的+	1	1
n01001011	史无前例+	1	4
n01001011	周+一+	2	2
n01001011	发布+的+	2	3
n01001011	但+	1	1
n01001011	权力+的+	2	3
n01001011	和平+转移+	2	4
n01001011	却+存在+先例+	3	5
n01001011	奥巴马+的+	2	4
n01001011	特别+助理+科瑞+	3	6
n01001011	舒尔曼+	1	3
n01001011	在+	1	1
n01001011	博客+中+	2	3
n01001011	写道+	1	2
n01001013	通过+	1	2
n01001013	社交+媒体+	2	4
n01001013	来+跟踪+	2	3
n01001013	国会山+	1	3
n01001013	任职+变迁+	2	4
n01001013	的+	1	1
n01001013	对于+	1	2
n01001013	人+	1	1
n01001013	而+言+	2	2
n01001013	这+次+	2	2
n01001013	与+以往+	2	3
n01001013	有+	1	1
n01001013	所+不同+	2	3
n01002017	进行+	1	2
n01002017	移民+	1	2
n01002017	削减+	1	2
n01002017	相关+演说+	2	4
n01002017	的+	1	1
n01002017	但是+	1	2
n01002017	他+	1	1
n01002017	在+	1	1
n01002017	过去+的+	2	3
n01002017	一+次+	2	2
n01002017	休息+环节+作+为+	4	6
n01002017	共和党+候选人+	2	6
n01002017	他+	1	1
n01002017	曾+宣称+	2	3
n01002017	作+为+	2	2
n01002017	总统+	1	2
n01002017	基+于+	2	2
n01002017	政绩+的+	2	3
n01002017	考量+	1	2
n01002017	他+	1	1
n01002017	将+允许+	2	3
n01002017	超+大量+	2	3
n01002017	合法+移民+	2	4
n01002032	给+你们+	2	3
n01002032	你们+肩负+的+	3	5
n01002032	在+	1	1
n01002032	北卡罗来纳+	1	5
n01002032	大学+运动场+上+	3	6
n01002032	的+	1	1
n01002032	所以+	1	2
n01002032	我+	1	1
n01002032	不想+	1	2
n01002032	施加+	1	2
n01002032	哪怕+	1	2
n01002032	一丁点+的+	2	4
n01002032	压力+	1	2
n01002032	但+	1	1
n01002032	是+	1	1
n01002032	共和国+的+	2	4
n01002032	命运+	1	2
n01002032	奥巴马+	1	3
n01002032	对+	1	1
n01002032	群众+说道+	2	4
n01002042	希拉里+的+	2	4
n01002042	巨额+	1	2
n01002042	银行+帐户+使+	3	5
n01002042	政府+支出+的+	3	5
n01002042	突破+了+	2	3
n01002042	新上限+	1	3
